of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
do|VV0|Please do your homework.|делай|Пожалуйста, делай своё домашнее задание.
they|PPHS2|They are going to the park.|они|Они идут в парк.
she|PPHS1|She is my best friend.|она|Она моя лучшая подруга.
about|II|We talked about the movie.|о|Мы говорили о фильме.
there|EX|There is a cat on the roof.|там|Там на крыше кот.
him|PPHO1|I gave him a gift.|ему|Я дал ему подарок.
could|VM|She could help us tomorrow.|могла|Она могла бы помочь нам завтра.
no|AT|There is no time left.|нет|Нет времени.
man|NN1|The man is tall.|мужчина|Мужчина высокий.
very|RG|She is very happy today.|очень|Она сегодня очень счастлива.
work|VV0|I work from home.|работаю|Я работаю из дома.
call|VV0|Please call me later.|позвони|Пожалуйста, позвони мне позже.
in|II|The keys are in the drawer.|в|Ключи в ящике.
as|CSA|She works as a teacher.|как|Она работает как учитель.
help|VV0|Can you help me?|помочь|Ты можешь помочь мне?
every|AT1|Every day is a new beginning.|каждый|Каждый день — это новое начало.
yes|UH|Yes, I agree with you.|да|Да, я согласен с тобой.
its|APPGE|The dog wagged its tail.|его|Собака виляла его хвостом.
hand|NN1|He raised his hand.|руку|Он поднял руку.
about|II|The book is about history.|о|Книга о истории.
without|IW|I can't do this without you.|без|Я не могу сделать это без тебя.
story|NN1|He told me a funny story.|историю|Он рассказал мне забавную историю.
begin|VV0|Let's begin the meeting.|начнем|Давайте начнем встречу.
fact|NN1|It is a known fact.|факт|Это известный факт.
maybe|RG|Maybe we can try again.|может|Может, мы попробуем снова.
issue|NN1|The issue was resolved quickly.|вопрос|Вопрос был быстро решен.
though|CS|She smiled though she was tired.|хотя|Она улыбнулась, хотя была усталой.
best|JJT|She is the best singer.|лучший|Она лучшая певица.
both|DB2|Both options are good.|оба|Оба варианта хороши.
much|RG|She has much to learn.|много|Ей нужно много учиться.
four|MC1|Four cats are sleeping.|четыре|Четыре кошки спят.
car|NN1|The car is new.|машина|Машина новая.
back|NN1|He hurt his back.|спину|Он повредил свою спину.
member|NN1|He is a member of the team.|член|Он член команды.
whether|CSW|She wasn't sure whether to go or not.|ли|Она не была уверена, идти ли или нет.
stay|VV0|Please stay for dinner.|останься|Пожалуйста, останься на ужин.
die|VV0|The plant might die without water.|умереть|Растение может умереть без воды.
office|NN1|The office is closed today.|офис|Офис сегодня закрыт.
grow|VV0|The tree will grow taller.|расти|Дерево будет расти выше.
second|MD|She finished in second place.|второе|Она финишировала на втором месте.
low|JJ|The prices are low this season.|низкие|Цены низкие в этом сезоне.
whole|JJ|He ate the whole cake.|весь|Он съел весь торт.
hard|JJ|The test was very hard.|тяжелый|Тест был очень тяжелым.
police|NN2|The police arrested the thieves.|полиция|Полиция арестовала воров.
break|VV0|Don't break the glass.|разбей|Не разбей стекло.
listen|VV0|Please listen carefully.|слушай|Пожалуйста, слушай внимательно.
full|JJ|The cup is full of coffee.|полная|Чашка полная кофе.
local|JJ|We visited the local market.|местный|Мы посетили местный рынок.
value|NN1|The value of the coin is high.|ценность|Ценность монеты высокая.
explain|VV0|Can you explain this to me?|объяснить|Можешь объяснить это мне?
movie|NN1|We watched a good movie.|фильм|Мы смотрели хороший фильм.
difference|NN1|Can you tell the difference?|разницу|Ты можешь заметить разницу?
effort|NN1|She made a great effort.|усилие|Она приложила большое усилие.
because|CS|He left because he was tired.|потому что|Он ушел, потому что устал.
need|NN1|There is a need for more teachers.|нужда|Есть нужда в большем количестве учителей.
situation|NN1|The situation is under control.|ситуация|Ситуация под контролем.
share|VV0|Please share your thoughts.|поделись|Пожалуйста, поделись своими мыслями.
simply|RG|She simply smiled and walked away.|просто|Она просто улыбнулась и ушла.
open|JJ|The door is open.|открытая|Дверь открытая.
save|VV0|We need to save money.|сохранить|Нам нужно сохранить деньги.
guess|VV0|I guess we should leave.|думаю|Думаю, нам стоит уйти.
election|NN1|The election results will be announced.|выборы|Результаты выборов будут объявлены.
certain|JJ|I am not certain about this.|уверен|Я не уверен в этом.
available|JJ|The book is available online.|доступна|Книга доступна онлайн.
current|JJ|The current situation is tense.|текущая|Текущая ситуация напряженная.
list|NN1|Please add your name to the list.|список|Пожалуйста, добавьте свое имя в список.
fire|NN1|The fire was put out quickly.|пожар|Пожар был быстро потушен.
author|NN1|He is the author of the book.|автор|Он автор книги.
note|VV0|Please note the changes.|заметь|Пожалуйста, заметь изменения.
nearly|RG|She is nearly finished with her work.|почти|Она почти закончила свою работу.
top|NN1|He climbed to the top of the hill.|вершину|Он поднялся на вершину холма.
worker|NN1|The worker took a break.|работник|Работник взял перерыв.
race|NN1|The race was exciting to watch.|гонка|Гонку было увлекательно смотреть.
poor|JJ|The poor man had no food.|бедный|Бедный человек не имел еды.
enjoy|VV0|I enjoy reading books.|наслаждаюсь|Я наслаждаюсь чтением книг.
defense|NN1|The defense was strong in the game.|защита|Защита была сильной в игре.
century|NN1|This building is from the 19th century.|век|Это здание из 19-го века.
animal|NN1|The zoo has many animals.|животные|В зоопарке много животных.
mile|NN1|We walked a mile to the store.|миля|Мы прошли одну милю до магазина.
compare|VV0|You can't compare apples to oranges.|сравнивать|Ты не можешь сравнивать яблоки с апельсинами.
sister|NN1|My sister is younger than me.|сестра|Моя сестра моложе меня.
thus|RG|It was raining, thus we stayed home.|поэтому|Шел дождь, поэтому мы остались дома.
candidate|NN1|The candidate gave a great speech.|кандидат|Кандидат выступил с отличной речью.
somebody|PN1|Somebody left their bag here.|кто-то|Кто-то оставил здесь свою сумку.
meeting|NN1|The meeting starts at 10 AM.|встреча|Встреча начинается в 10 утра.
imagine|VV0|I can imagine how you feel.|представить|Я могу представить, как ты себя чувствуешь.
disease|NN1|The disease spread quickly.|болезнь|Болезнь быстро распространилась.
apply|VV0|You should apply for the job.|подать|Тебе следует подать заявку на работу.
rise|VV0|The sun will rise soon.|взойдет|Скоро солнце взойдет.
set|NN1|The sun is about to set.|заход|Солнце вот-вот зайдет.
method|NN1|This method is very effective.|метод|Этот метод очень эффективен.
shit|NN1|The situation was complete shit.|дерьмо|Ситуация была полным дерьмом.
interview|NN1|The interview went well.|интервью|Интервью прошло хорошо.
blue|JJ|The sky is blue today.|синий|Небо сегодня синее.
environment|NN1|We need to protect the environment.|окружающая среда|Нам нужно защищать окружающую среду.
river|NN1|The river flows through the town.|река|Река течет через город.
bit|RG|She was a bit tired after the run.|немного|Она немного устала после бега.
absolutely|RG|I absolutely love this place.|абсолютно|Я абсолютно люблю это место.
trouble|NN1|He got into trouble at school.|неприятности|Он попал в неприятности в школе.
seat|NN1|Please take a seat.|место|Пожалуйста, займите место.
necessary|JJ|It is necessary to bring your ID.|необходимый|Необходимо взять с собой удостоверение личности.
democratic|JJ|They live in a democratic society.|демократический|Они живут в демократическом обществе.
address|VV0|Please address the envelope.|адресовать|Пожалуйста, адресуйте конверт.
management|NN1|Management decided to hire more staff.|управление|Руководство решило нанять больше сотрудников.
tomorrow|RT|We will meet tomorrow.|завтра|Мы встретимся завтра.
stick|VV0|The sticker won't stick to the wall.|прилипать|Наклейка не прилипает к стене.
discover|VV0|They discovered a hidden treasure.|обнаружить|Они обнаружили скрытое сокровище.
user|NN1|He is an experienced computer user.|пользователь|Он опытный пользователь компьютера.
inside|II|The cat is inside the house.|внутри|Кот внутри дома.
nor|CCB|She didn't call, nor did she write.|ни|Она не звонила, ни писала.
through|II|We walked through the park.|через|Мы прошли через парк.
mouth|NN1|He opened his mouth to speak.|рот|Он открыл рот, чтобы говорить.
travel|VV0|They love to travel together.|путешествовать|Они любят путешествовать вместе.
photograph|NN1|She took a beautiful photograph.|фотография|Она сделала красивую фотографию.
touch|VV0|Please don't touch the artwork.|трогать|Пожалуйста, не трогайте произведение искусства.
suffer|VV0|He suffered a great loss.|страдать|Он страдал от большой потери.
heat|NN1|The heat was unbearable.|жара|Жара была невыносимой.
judge|NN1|The judge made a fair decision.|судья|Судья вынес справедливое решение.
fall|NN1|The fall was hard on his back.|падение|Падение сильно ударило по его спине.
internet|NN1|The internet is slow today.|интернет|Интернет сегодня медленный.
element|NN1|Water is an essential element.|элемент|Вода — это важный элемент.
