|word_de|sentence_de
87|groß|Der Baum im Garten ist sehr groß.
89|ganz|Ich habe den ganzen Tag gearbeitet.
+98|gut|Mir schmeckt das Essen sehr gut.
109|neu|Ich habe ein neues Buch gekauft.
121|erste (r, s)|Der erste Schnee ist gefallen.
123|lang|Der lange Weg führt durch den Wald.
130|wenig|Es bleibt nur wenig Zeit bis zur Abgabe.
139|klein|Das Haus ist klein, aber gemütlich.
148|hoch|Der Baum ist sehr hoch gewachsen.
163|einfach|Die Lösung war einfach und klar.
171|natürlich|Das war eine ganz natürliche Reaktion.
173|alt|Das Buch ist sehr alt, aber interessant.
176|gleich|Wir haben das gleiche Problem.
179|wichtig|Pünktlichkeit ist im Job wichtig.
187|eigentlich|Er ist der eigentliche Besitzer.
190|letzte (r, s)|Die letzte Chance ist nun vorbei.
197|gerade|Er hat die Linie gerade gezogen.
205|eigen|Er brachte sein eigenes Essen mit.
+206|genau|Er erklärte die Aufgabe genau.
208|spät|Es ist schon zu spät für eine Antwort.
+209|spät|Können wir das später besprechen?
211|möglich|Bei uns ist fast alles möglich.
218|kurz|Der Film war überraschend kurz.
219|richtig|Dein Vorschlag war absolut richtig.
220|stark|Der Wind wehte heute besonders stark.
225|weitere (r, s)|Ein weiterer Vorschlag wurde gemacht.
231|schön|Am See war es gestern sehr schön.
232|wirklich|Das ist eine wirkliche Gefahr.
244|jung|Der junge Mann geht zur Arbeit.
246|besser|Heute fühle ich mich schon besser.
248|schnell|Der schnelle Läufer gewann das Rennen.
283|nächste (r, s)|Das nächste Treffen ist im März.
285|klar|Das Wasser war klar und ruhig.
+289|recht|Es ist mir recht, wenn wir später gehen.
303|verschieden|Er probierte verschiedene Methoden aus.
306|schwer|Der Koffer war schwer zu tragen.
330|bestimmt|Das ist bestimmt eine gute Idee.
+340|wert|Seine Mühe ist jede Anerkennung wert.
346|gemeinsam|Wir haben ein gemeinsames Ziel.
347|rund|Der Tisch hat eine runde Form.
354|deutlich|Die Anweisungen waren deutlich.
356|politisch|Er ist politisch sehr engagiert.
363|leicht|Der Koffer war überraschend leicht.
367|beste (r, s)|Er ist der beste Spieler im Team.
372|bekannt|Er ist als guter Arzt bekannt.
381|schlecht|Das Wetter war heute wirklich schlecht.
389|europäisch|Das ist ein europäisches Projekt.
+394|tatsächlich|Es ist tatsächlich wahr, was er sagt.
398|einzig|Er ist der einzige, der es kann.
400|unterschiedlich|Die Meinungen gingen stark auseinander.
408|direkt|Der direkte Weg führt durch den Wald.
410|offen|Die Tür stand weit offen, als ich ankam.
421|früh|Er steht jeden Tag sehr früh auf.
433|meiste|Die meiste Zeit verbringt er draußen.
448|allgemein|Allgemein gilt das als unhöflich.
462|häufig|Er wiederholte seine Frage oft.
486|sozial|Soziale Gerechtigkeit ist ihm wichtig.
493|ähnlich|Die beiden sehen sich ähnlich.
498|tief|Der Brunnen reicht tief in die Erde.
499|halb|Der Weg ist noch halb geschafft.
528|weiß|Der weiße Schnee bedeckt das ganze Tal.
530|schwarz|Der schwarze Anzug steht ihm gut.
533|rot|Das Auto ist knallrot lackiert.
536|nah|Wir wohnen in einer nahen Stadt.
552|öffentlich|Die öffentliche Meinung ist gespalten.
562|gering|Der Schaden ist nur gering gewesen.
570|besondere (r, s)|Er hat eine besondere Art zu sprechen.
571|tot|Der Baum im Garten ist leider tot.
+573|völlig|Er war völlig erschöpft nach dem Lauf.
574|positiv|Er gab eine positive Rückmeldung.
582|falsch|Die Antwort war leider falsch.
584|langsam|Er sprach langsam und deutlich.
603|persönlich|Das ist meine persönliche Meinung.
610|gewiss|Er ist sich gewiss, dass es klappt.
615|gesamt|Das gesamte Team arbeitet hart.
625|fest|Der Vertrag wurde fest unterschrieben.
626|aktuell|Das Thema ist aktuell sehr wichtig.
629|relativ|Diese Aufgabe war relativ leicht.
638|schwierig|Die Prüfung war extrem schwierig.
641|zusätzlich|Zusätzlich brachte er Getränke mit.
651|eng|Die Gassen der Altstadt sind eng.
689|okay|Wenn du okay bist, gehen wir weiter.
698|gleichzeitig|Sie lachten gleichzeitig laut.
703|normal|Nach dem Unfall ist alles wieder normal.
718|technisch|Das Problem ist technischer Natur.
723|wesentlich|Dieser Punkt ist wesentlich für uns.
724|englisch|Der englische Text ist schwer.
727|rein|Das Wasser aus der Quelle ist rein.
+732|selten|Solche Tiere sieht man sehr selten.
734|innere (r, s)|Das innere Gleichgewicht ist wichtig.
745|grün|Das grüne Gras leuchtete in der Sonne.
748|echt|Er zeigte echten Enthusiasmus.
769|dunkel|Es wurde plötzlich dunkel im Raum.
791|hart|Der Stein ist hart wie Granit.
+792|offenbar|Offenbar ist er nicht gut informiert.
798|erfolgreich|Das Projekt war sehr erfolgreich.
800|wahr|Die Geschichte ist tatsächlich wahr.
+804|bloß|Das war bloß ein kleiner Unfall.
806|notwendig|Eine Klärung der Sache ist notwendig.
809|wirtschaftlich|Das Land wächst wirtschaftlich.
810|privat|Das Gespräch bleibt streng privat.
811|modern|Das Gebäude wirkt sehr modern.
815|unabhängig|Sie ist finanziell unabhängig.
825|chemisch|Die chemische Reaktion verläuft schnell.
826|schlimm|Es war nicht so schlimm, wie gedacht.
838|laut|Er sprach laut, damit ihn alle hören.
843|niedrig|Der Preis war erstaunlich niedrig.
844|ständig|Er ist ständig unterwegs und arbeitet.
851|rechte (r, s)|Der rechte Schuh passt perfekt.
855|aktiv|Er bleibt auch im Alter aktiv.
876|interessant|Das Buch ist wirklich interessant.
877|menschlich|Er zeigt sich sehr menschlich.
882|französisch|Er liest gerne französische Literatur.
884|negativ|Der Einfluss war eher negativ.
885|zentral|Das Büro liegt in zentraler Lage.
890|absolut|Das ist absolut kein Problem mehr.
897|konkret|Hast du eine konkrete Idee dazu?
898|russisch|Er studiert russische Geschichte.
904|amerikanisch|Amerikanische Filme sind beliebt.
908|praktisch|Diese Lösung ist praktisch und nützlich.
911|weltweit|Das Produkt wird weltweit verkauft.
915|breit|Der breite Fluss fließt ruhig dahin.
927|fremd|Dieses Land ist mir völlig fremd.
939|linke (r, s)|Der linke Schuh drückt ein wenig.
942|leer|Die Straße war nachts völlig leer.
950|klassisch|Klassische Musik erklingt im Saal.
951|ehemalig|Mein ehemaliger Lehrer war sehr nett.
955|kalt|Das Wasser fühlt sich kalt an.
