     |part_of_speech |word_de                    |word_forms                                 |sentence_de                              |word_meanings_en           |word_en              |sentence_en
   0 |art            |die                        |der, die, das                              |Das ist die einzige Lösung für uns.      |the                        |the                  |This is the only solution for us.
   1 |pron           |der                        |der, die, das                              |Das ist der, der es getan hat.           |that, those                |that                 |That is the one who did it.
   2 |pron           |der                        |der, die, das                              |Das ist der Mann, den ich meinte.        |who, that                  |who                  |That is the man who I meant.
   5 |aux            |sein (Vergangenheitsform)  |sein, ist, war, ist gewesen                |Er war der Beste auf seinem Gebiet.      |(past tense)               |(past tense)         |He was the best in his field.
   9 |aux            |haben (Vergangenheitsform) |haben, hat, hatte, hat gehabt              |Wir haben eine gute Zeit gehabt.         |(past tense)               |(past tense)         |We had a good time.
  14 |aux            |werden (Futur)             |werden, wird, wurde, ist geworden          |Sie werden das Projekt bald beginnen.    |(future tense)             |(future tense)       |They will start the project soon.
  15 |aux            |werden (Passivform)        |werden, wird, wurde, ist geworden          |Das Buch wurde veröffentlicht.           |(passive voice)            |(passive voice)      |The book was published.
  77 |pron           |andere                     |andere, anderer, anderes                   |Der andere blieb im Auto sitzen.         |other                      |other                |The other stayed in the car.
 112 |pron           |jede                       |jede, jeder, jedes                         |Jeder Tag ist eine neue Chance.          |every                      |every                |Every day is a new chance.
 121 |adj            |erste                      |erste, erster, erstes                      |Der erste Schnee ist gefallen.           |first                      |first                |The first snow has fallen.
 128 |part           |selbst                     |selbst, selber                             |Selbst die Experten waren überrascht.    |even                       |even                 |Even the experts were surprised.
 129 |pron           |selbst                     |selbst, selber                             |Er hat das Auto selbst repariert.        |-self                      |-self                |He repaired the car himself.
 138 |pron           |nichts                     |nichts, nix                                |Nichts ist für immer verloren.           |nothing                    |nothing              |Nothing is lost forever.
 144 |adv            |nun                        |nun, nu                                    |Nun beginnen wir mit der Arbeit.         |now                        |now                  |Now we start with the work.
 153 |pron           |welche                     |welche, welcher, welches                   |Welches Buch suchst du gerade?           |which                      |which                |Which book are you currently looking for?
 184 |part           |nein                       |nein, nee, nö                              |Nein, das kann nicht wahr sein!          |no                         |no                   |No, that can't be true!
 190 |adj            |letzte                     |letzte, letzter, letztes                   |Die letzte Chance ist nun vorbei.        |last                       |last                 |The last chance is now gone.
 225 |adj            |weitere                    |weitere, weiterer, weiteres                |Ein weiterer Vorschlag wurde gemacht.    |additional, further        |further              |A further suggestion was made.
 239 |pron           |darauf                     |darauf, drauf                              |Die Katze sprang plötzlich darauf.       |on it, to it               |on it                |The cat jumped on it suddenly.
 240 |adv            |eben                       |eben, ebend                                |Ich habe ihn eben an der Tür gesehen.    |just, now                  |just                 |I just saw him at the door.
 241 |part           |eben                       |eben, ebend                                |So ist das eben manchmal im Leben.       |just                       |just                 |That's just how life is sometimes.
 254 |die            |die Million (Mio.)         |die Millionen                              |Der Gewinn beträgt eine Million Euro.    |million                    |million              |The profit amounts to one million euros.
 283 |adj            |nächste                    |nächste, nächster, nächstes                |Das nächste Treffen ist im März.         |next                       |next                 |The next meeting is in March.
 317 |adv            |allein                     |allein, alleine                            |Er lebt allein in einer Wohnung.         |alone                      |alone                |He lives alone in an apartment.
 328 |adv            |gern                       |gern, gerne                                |Ich lese sehr gern gute Bücher.          |(with a verb) love to      |love to              |I love to read good books.
 333 |pron           |darüber                    |darüber, drüber                            |Er sprach nicht gerne darüber.           |above it, about it         |about it             |He didn't like to talk about it.
 342 |conj           |beziehungsweise            |beziehungsweise, bzw.                      |Sie oder beziehungsweise er kommt.       |or, respectively           |or                   |She or respectively he is coming.
 343 |pron           |daran                      |daran, dran                                |Wir arbeiten schon seit Stunden daran.   |on it                      |on it                |We have been working on it for hours.
 353 |pron           |bisschen                   |bisschen, bissel                           |Ich brauche ein bisschen Hilfe.          |a little                   |a little             |I need a little help.
 367 |adj            |beste                      |beste, bester, bestes                      |Er ist der beste Spieler im Team.        |best                       |best                 |He is the best player on the team.
