|frequency_rank|speech_part|word_german|word_english|sentence_german|sentence_english
0|1|art|der|the|Der Hund ist groß.|The dog is big.
1|1|pron|der|that, those|Der Mann ist glücklich.|That man is happy.
2|1|pron|der|who, that|Der Lehrer, der spricht, ist hier.|The teacher who speaks is here.
5|4|aux|sein, ist, war, ist gewesen|(past tense)|Er ist früh nach Hause gekommen.|He came home early.
6|4|verb|sein, ist, war, ist gewesen|to be|Er ist mein Bruder.|He is my brother.
7|5|art|ein|a, an|Ein Apfel ist rot.|An apple is red.
8|5|pron|ein|one (of)|Eines der Autos ist kaputt.|One of the cars is broken.
9|6|aux|haben, hat, hatte, hat gehabt|(past tense)|Sie hatte ein Buch.|She had a book.
10|6|verb|haben, hat, hatte, hat gehabt|to have|Ich habe einen Hund.|I have a dog.
11|7|pron|sie|she, her|Sie liebt ihre Katze.|She loves her cat.
12|7|pron|sie|they, them|Sie sind meine Freunde.|They are my friends.
13|7|pron|sie|you|Sie warten hier.|You wait here.
14|8|aux|werden, wird, wurde, ist geworden|(future tense)|Es wird regnen.|It will rain.
15|8|aux|werden, wird, wurde, ist geworden|(passive voice)|Ein Haus wird gebaut.|A house is being built.
16|8|verb|werden, wird, wurde, ist geworden|to become, get|Er wird müde.|He becomes tired.
29|21|part|zu|to|Ich habe keine Zeit, zu kommen.|I don't have time to come.
30|21|part|zu|too|Zu viel Zucker.|Too much sugar.
31|21|prep|zu|to|Er ging zu ihr.|He went to her.
32|22|conj|als|as, when|Als er kam, ging sie.|As he came, she left.
33|22|part|als|than|Größer als er.|Taller than him.
36|25|part|wie|as|Er arbeitet wie ein Pferd.|He works like a horse.
37|25|pron|wie|how|Wie heißt du?|What is your name?
39|27|pron|ihr|her, their, hers, theirs|Ihre Katze ist süß.|Her cat is cute.
40|27|pron|ihr|you, her|Das ist ihr Buch.|That is her book.
41|27|pron|ihr|your|Ist das Ihr Auto?|Is that your car?
42|28|adv|so|so, thus, the way, such|Es ist so kalt.|It is so cold.
43|28|part|so|so|Es war nicht so.|It wasn't so.
46|31|conj|aber|but|Es ist teuer, aber schön.|It is expensive but beautiful.
47|31|part|aber||Das ist aber komisch.|But that is strange.
60|44|conj|um|in order to|Um zu verstehen, lerne.|Learn in order to understand.
61|44|prep|um|around, at|Er ging um die Ecke.|He went around the corner.
65|48|adv|da|there|Er ist da drüben.|He is over there.
66|48|conj|da|because|Er kam, da er müde war.|He came because he was tired.
79|61|adv|schon|already|Er ist schon da.|He is already there.
80|61|part|schon||Der Test war schon schwierig.|The test was really difficult.
84|65|(Reflexive pronoun in the acc.)|mich||Er schaut mich an.|He looks at me.
85|65|pron|mich|me|Ich sehe mich im Spiegel.|I see myself in the mirror.
89|69|adj|ganz|whole, all the|Das ganze Buch.|The whole book.
90|69|part|ganz|quite|Es ist ganz schön hier.|It is quite nice here.
94|73|adv|doch|however, but|Es ist teuer, doch schön.|It is expensive, but beautiful.
95|73|part|doch||Ich habe es doch gesagt.|I told you so.
99|77|conj|bis|until|Ich warte hier, bis er kommt.|I’ll wait here until he comes.
100|77|prep|bis|until, till|Ich bleibe bis acht Uhr.|I stay until eight o'clock.
105|82|conj|Mal|times|Ein mal eins ist eins.|One times one equals one.
106|82|das|Mal|time, mark|Das erste Mal ist immer besonders.|The first time is always special.
107|82|Mal|part||Wir waren mal in Paris.|We were in Paris once.
118|93|conj|denn|because|Er kommt, denn er muss.|He comes because he must.
119|93|part|denn|anyway|Was denn?|What anyway?
123|97|adj|lang|long|Der Fluss ist lang.|The river is long.
124|97|adv|lang|for a long time|Er wartet schon lange.|He has been waiting for a long time.
