|part_of_speech|word_de|word_en
218|adj|kurz|short
226|das|das Ende|end
232|adj|wirklich|real
315|adj|sicher|secure
363|adj|leicht|light
441|das|das Ergebnis|result
454|die|die Stimme|voice
478|das|das Produkt|product
554|adv|insgesamt|in all
560|verb|gelingen|to succeed
594|der|der Boden|ground
598|der|der Tod|death
629|adj|relativ|relative
771|das|das Modell|model
790|die|die Größe|size
845|der|der Einsatz|use
965|adj|lieb|kind
982|verb|überraschen|to surprise
1148|adj|heutig|today’s
1169|die|die Kontrolle|inspection
1266|verb|starten|to start
1287|das|das Bier|beer
1300|verb|verlaufen|to proceed
1351|der|der Fußball|soccer
1352|der|der Umstand|circumstance
1356|die|die Integration|integration
1370|der|der Aspekt|aspect
1398|die|die Fähigkeit|ability
1425|adj|rasch|quick
1441|verb|riechen|to smell
1553|die|die Strategie|strategy
1585|die|die Suche|search
1709|der|der Beifall|applause
1729|der|der Wille|will
1810|die|die Stimmung|mood
1816|die|die Nation|nation
1843|adj|vollkommen|complete
1909|die|die Prüfung|exam
1941|verb|beeindrucken|to impress
1959|adj|geistig|intellectual
1983|das|das Engagement|commitment
2003|der|der Teilnehmer|participant
2016|adj|generell|general
2029|der|der Start|launch
2037|prep|mittels|by means of
2049|der|der Strand|beach
2081|die|die Dimension|dimension
2159|der|der Auftritt|appearance
2160|verb|integrieren|to integrate
2261|die|die Operation|operation
2300|das|das Drama|drama
2306|adj|künstlerisch|artistic
2348|adj|gezielt|targeted
2351|adj|extern|external
2381|das|das Baby|baby
2385|adj|eventuell|possible
2403|verb|belasten|to burden
2471|der|der Koffer|suitcase
2545|der|der Dialog|dialogue
2684|adj|hübsch|pretty
2708|die|die Kooperation|cooperation
2727|der|der Protest|protest
2728|die|die Tour|tour
2740|der, die, das|die Alte|old person/thing
2745|das|das Hemd|shirt
2752|adj|kreativ|creative
2861|das|das Finale|finale
2892|pron|womit|with what
2934|die|die Persönlichkeit|personality
2942|die|die Anordnung|order
3057|der|der Höhepunkt|highlight
3063|die|die Berücksichtigung|consideration
3089|die|die Abstimmung|coordination
3091|adj|nachfolgend|following
3185|der|der Tipp|tip
3222|der|der Suizid|suicide
3238|die|die Übertragung|broadcast
3323|der|der Ausgleich|compensation
3353|die|die Veröffentlichung|publication
3359|der|der Eingriff|intervention
3389|verb|übereinstimmen|correspond
3465|der|der Rechner|computer
3499|die|die Vermittlung|negotiation
3509|die|die Durchführung|carrying out
3520|verb|agieren|to act
3544|die|die Auskunft|information
3622|der|der Frühling|spring
3626|adv|oftmals|frequently
3652|die|die Übernahme|takeover
3672|das|das Sofa|sofa
3683|die|die Auflösung|dissolution
3716|die|die Architektur|architecture
3729|adj|akut|acute
3756|die|die Abgabe|delivery
3758|adj|israelisch|Israeli
3789|die|die Unternehmung|venture
3950|die|die Transparenz|transparency
3958|die|die Transformation|transformation
3985|der|der Rücktritt|resignation
4009|das|das Abendessen|dinner
4016|das|das T-Shirt|T-shirt
4055|die|die Ablehnung|rejection
4101|der|der Sessel|armchair
4116|der|der Ausflug|trip
4144|der|der Ozean|ocean
4190|adj|live|live
4212|verb|befriedigen|to satisfy
4276|die|die Inszenierung|production
4304|verb|streben|to strive
4305|der|der Algorithmus|algorithm
4432|die|die Malerei|painting
4458|das|das Gift|poison
4466|der|der Sturz|fall
4498|das|das Substantiv|noun
4569|die|die Feststellung|assessment
4652|der|der Diskurs|discourse
4770|das|das Halbfinale|semi-final
4775|die|die Jagd|hunt
4784|die|die Fusion|merger
4872|die|die Verteidigung|defense
4913|verb|riskieren|to risk
4933|die|die Symmetrie|symmetry
4941|der|der Gesang|singing
4982|die|die Größenordnung|magnitude
4988|das|das Trinken|drinking
4995|der|der Einstieg|entry
5001|der|der Römer|Roman
5047|adj|tragisch|tragic
5069|die|die Skulptur|sculpture
