word_combination_de                    |word_combination_en                    |word_de                                                                          |speech_part                     |word_en                                                      |sentence_de                                                                                                            |sentence_en                                                                                                       |frequency_rank
der Mann ist hoch                      |the man is high                        |der                                                                              |art                             |the                                                          |Der Mann und die Frau kochen, das Kind spielt.                                                                         |The man and the woman are cooking; the child is playing.                                                          |             1
der Baum ist schwer                    |that tree is heavy                     |der                                                                              |pron                            |that, those                                                  |Das ist der Mann, den ich liebe.                                                                                       |That’s the man I love.                                                                                            |             1
der Junge ist schnell                  |the boy is fast                        |der                                                                              |pron                            |who, that                                                    |Dort steht das Mädchen, das mit mir zur Schule geht.                                                                   |There’s the girl who goes to school with me.                                                                      |             1
die Frau ist klug                      |woman is smart                         |und                                                                              |conj                            |and                                                          |Die Eltern und Kinder essen und sprechen über ihren Tag.                                                               |The parents and children eat and talk about their day.                                                            |             2
in der Stadt ist es schön              |in the city is beautiful               |in                                                                               |prep                            |in                                                           |Günter geht in den Keller.                                                                                             |Günter goes into the basement.                                                                                    |             3
sie war glücklich                      |she was happy                          |sein, ist, war, ist gewesen                                                      |aux                             |(past tense)                                                 |Janosch ist heute Morgen in die Schule gefahren.                                                                       |Janosch went to school this morning.                                                                              |             4
es ist wichtig                         |this is important                      |sein, ist, war, ist gewesen                                                      |verb                            |to be                                                        |Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.                                                      |I’m a teacher, and you’re a police officer, and we’re happy with that.                                            |             4
der Hund ist laut                      |the dog is loud                        |ein                                                                              |art                             |a, an                                                        |Er wohnt in einem Hotel.                                                                                               |He’s staying at a hotel.                                                                                          |             5
eine Katze ist süß                     |a cat is cute                          |ein                                                                              |pron                            |one (of)                                                     |Eines der Kinder hat sich beim Spielen verletzt.                                                                       |One of the children was injured while playing.                                                                    |             5
er hatte Angst                         |he had fear                            |haben, hat, hatte, hat gehabt                                                    |aux                             |(past tense)                                                 |Sie hat sich gestern einen Film angesehen.                                                                             |She was watching a movie yesterday.                                                                               |             6
sie hat Hunger                         |she has hunger                         |haben, hat, hatte, hat gehabt                                                    |verb                            |to have                                                      |Ich habe ein Buch in der Hand.                                                                                         |I have a book in my hand.                                                                                         |             6
sie ist nett                           |she is nice                            |sie                                                                              |pron                            |she, her                                                     |Paul besucht Anna, sie ist Pauls Tante.                                                                                |Paul visits Anna; she’s Paul’s aunt.                                                                              |             7
sie sind groß                          |they are big                           |sie                                                                              |pron                            |they, them                                                   |Petra und Klaus kochen, sie bekommen Besuch.                                                                           |Petra and Klaus are cooking; they have a visitor.                                                                 |             7
Sie sind klug                          |you are smart                          |sie                                                                              |pron                            |you                                                          |Ich bitte Sie um Ihr Verständnis.                                                                                      |I ask you for your understanding.                                                                                 |             7
er wird groß                           |he will become big                     |werden, wird, wurde, ist geworden                                                |aux                             |(future tense)                                               |Ich werde bald als Lehrer arbeiten.                                                                                    |I’ll be working as a teacher soon.                                                                                |             8
                                       |                                       |werden, wird, wurde, ist geworden                                                |aux                             |(passive voice)                                              |Das Auto wird gefahren.                                                                                                |The car is being driven.                                                                                          |             8
