#frequency_rank|word_de|part_of_speech|word_en|sentence_de|sentence_en
1|der|art|the|Der Mann und die Frau kochen, das Kind spielt.|The man and the woman are cooking; the child is playing.
1|der|pron|that, those|Das ist der Mann, den ich liebe.|That’s the man I love.
1|der|pron|who, that|Dort steht das Mädchen, das mit mir zur Schule geht.|There’s the girl who goes to school with me.
2|und|conj|and|Die Eltern und Kinder essen und sprechen über ihren Tag.|The parents and children eat and talk about their day.
3|in|prep|in|Günter geht in den Keller.|Günter goes into the basement.
4|sein, ist, war, ist gewesen|aux|(past tense)|Janosch ist heute Morgen in die Schule gefahren.|Janosch went to school this morning.
4|sein, ist, war, ist gewesen|verb|to be|Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.|I’m a teacher, and you’re a police officer, and we’re happy with that.
5|ein|art|a, an|Er wohnt in einem Hotel.|He’s staying at a hotel.
5|ein|pron|one (of)|Eines der Kinder hat sich beim Spielen verletzt.|One of the children was injured while playing.
6|haben, hat, hatte, hat gehabt|aux|(past tense)|Sie hat sich gestern einen Film angesehen.|She was watching a movie yesterday.
6|haben, hat, hatte, hat gehabt|verb|to have|Ich habe ein Buch in der Hand.|I have a book in my hand.
7|sie|pron|she, her|Paul besucht Anna, sie ist Pauls Tante.|Paul visits Anna; she’s Paul’s aunt.
7|sie|pron|they, them|Petra und Klaus kochen, sie bekommen Besuch.|Petra and Klaus are cooking; they have a visitor.
7|sie|pron|you|Ich bitte Sie um Ihr Verständnis.|I ask you for your understanding.
8|werden, wird, wurde, ist geworden|aux|(future tense)|Ich werde bald als Lehrer arbeiten.|I’ll be working as a teacher soon.
8|werden, wird, wurde, ist geworden|aux|(passive voice)|Das Auto wird gefahren.|The car is being driven.
8|werden, wird, wurde, ist geworden|verb|to become, get|Der Junge wird zum Mann.|The boy becomes a man.
9|von|prep|from, of|Benjamin ist der Bruder von Anna.|Benjamin is the brother of Anna.
10|ich|pron|I|Ich arbeite und du bleibst zu Hause.|I work and you stay home.
11|nicht|part|not|Im Restaurant darf man nicht rauchen.|You can’t smoke in the restaurant.
12|es|pron|it|Das Kind geht ins Bett, es ist müde.|The child goes to bed; she is tired.
13|mit|prep|with|Mein Bruder spielt mit Janosch Fußball im Garten.|My brother plays soccer in the garden with Janosch.
14|sich|pron|-self|Das Kind sieht sich im Spiegel.|The child sees itself in the mirror.
15|er|pron|he|Jan hat gute Noten in der Schule, er ist ein kluges Kind.|Jan has good grades in school; he’s a smart child.
16|auf|prep|on, at, to|Auf dem Tisch steht ein Glas Wasser.|There’s a glass of water on the table.
17|für|prep|for|Sie macht einen Kaffee für Max.|She’s making coffee for Max.
18|auch|adv|also, too|Auch ich habe Geburtstag, nicht nur Markus.|It’s my birthday too, not just Markus’s.
19|an|prep|at, on|Das Bild hängt an der Wand.|The picture hangs on the wall.
20|dass|conj|that|Ich vermute, dass der Zug wieder zu spät kommt.|I suspect the train will be late again.
21|zu|part|to|Ich versuche, dich zu verstehen.|I’m trying to understand you.
21|zu|part|too|Es ist zu kalt für eine Party im Garten.|It’s too cold for a party in the garden.
21|zu|prep|to|Heute gehe ich zu meiner Nachbarin.|Today I go to my neighbor.
22|als|conj|as, when|Als ich nach Hause komme, ist es schon dunkel.|When I get home, it’s already dark.
22|als|part|than|Tim ist Paulas großer Bruder, weil er älter ist als sie.|Tim is Paula’s big brother because he’s older than she is.
23|können, kann, konnte, hat können|verb|to be able to, can|Die Kinder können schon Fahrrad fahren.|The children can already ride bicycles.
24|dies|pron|this, that|Besonders dieses Bild gefällt mir sehr.|I especially like this picture.
25|wie|part|as|Johanna ist so alt wie Matthias.|Johanna is as old as Matthias.
25|wie|pron|how|Wie lange dauert es?|How long does it take?
26|wir|pron|we|Fernando und ich wollen Urlaub machen, wir fahren im Sommer.|Fernando and I are going on vacation; we’re going in summer.
27|ihr|pron|her, their, hers, theirs|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.
27|ihr|pron|you, her|Das Mädchen ärgert ihren Bruder.|The girl annoys her brother.
27|ihr|pron|your|Bitte geben Sie Ihr Blatt am Ende der Stunde ab.|Please hand in your paper at the end of the lesson.
28|so|adv|so, thus, the way, such|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.
28|so|part|so|Das Wetter ist heute so schön.|The weather is so nice today.
29|bei|prep|by, with, at|Jan ist bei einem neuen Arzt.|Jan’s with a new doctor.
30|sein|pron|his, its|Der Junge ärgert seine Schwester.|The boy annoys his sister.
31|aber|conj|but|Die Sonne scheint, aber es ist trotzdem kalt.|The sun is shining, but it’s still cold.
31|aber|part||Das ist aber nicht nett von Tim.|That’s not nice of Tim.
32|man|pron|one, you, they|Hier erzählt man sich Geschichten.|They tell stories here.
33|noch|adv|still, yet|Habt ihr sonst noch Fragen?|Do you still have any questions?
34|nach|prep|after, toward|Nach dem Mittagessen gehen wir spazieren.|After lunch we go for a walk.
35|oder|conj|or|Kommst du mit dem Fahrrad oder fährst du mit dem Bus?|Are you coming by bike or are you going by bus?
36|all|pron|all|Wir freuen uns alle auf den Urlaub.|We are all looking forward to our vacation.
37|aus|prep|out, out of, from|Thomas schaut aus dem Fenster.|Thomas looks out the window.
38|was|pron|what|Was sagst du?|What do you say?
39|nur|adv|only|Das kostet nur zwei Euro.|It only costs two euros.
40|sagen, sagt, sagte, hat gesagt|verb|to say, tell|Der Kollege sagt ihr, wo sie die Schlüssel findet.|The colleague tells her where to find the keys.
41|dann|adv|then|Erst gehen wir einkaufen und dann in ein Restaurant.|First we go shopping, then we go to a restaurant.
42|wenn|conj|if, when|Ich erzähle es dir, wenn wir uns sehen.|I’ll tell you when we see each other.
43|müssen, muss, musste, hat gemusst|verb|to have to, must|Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.|I have to be home by nine o’clock or my mother will be angry.
44|um|conj|in order to|Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.|I also work on weekends in order to pay for my vacation.
44|um|prep|around, at|Die Kinder laufen um den Baum.|The children run around the tree.
45|ja|part|yes, of course|Ja, ich verstehe das.|Yes, I understand that.
46|kein|pron|no|Sie haben keine Chance, das Spiel zu gewinnen.|They have no chance of winning the game.
47|über|prep|above, over, about|Über mir fliegt ein Flugzeug.|There’s a plane flying above me.
48|da|adv|there|Da hinten steht mein Auto.|There’s my car over there.
48|da|conj|because|Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.|Because I have a new job, I’m moving to another city.
49|geben, gibt, gab, hat gegeben|verb|to give|Timo gibt dem Verkäufer die Bücher.|Timo gives the books to the seller.
50|vor|prep|in front of, before, ago|Laura wartet vor der Tür auf ihre Freunde.|Laura is waiting in front of the door for her friends.
51|mein|pron|my, mine|Anna ist meine kleine Schwester.|Anna is my little sister.
