|word_de|sentence_de|word_en
1242|eindeutig|Wir brauchen eine eindeutige Erklärung.|clear|We need a clear explanation.
3004|verständlich|Die Anweisungen waren verständlich.|comprehensible|The instructions were comprehensible.
3006|flüssig|Der Vortrag war flüssig und klar.|liquid|The presentation was smooth and clear.
3011|konsequent|Die Lösung wurde konsequent umgesetzt.|consistent|The solution was implemented consistently.
3027|katholisch|Sie ist katholisch aufgewachsen.|Catholic|She was raised Catholic.
3028|merkwürdig|Sein Verhalten war wirklich merkwürdig.|strange|His behavior was really strange.
3038|juristisch|Die juristische Lage ist unklar.|legal, juridical|The legal situation is unclear.
3039|peinlich|Peinliche Stille breitete sich aus.|embarrassing|An embarrassing silence spread.
3045|kaputt|Das Fahrrad war völlig kaputt.|broken, ruined|The bicycle was completely broken.
3056|divers|Die diverse Gruppe diskutierte lebhaft.|diverse, various|The diverse group had a lively discussion.
3060|ausgeprägt|Sie hat ein ausgeprägtes Talent gezeigt.|distinct, pronounced, remarkable|She showed a distinct talent.
3064|dementsprechend|Er verhielt sich dementsprechend.|accordingly|He acted accordingly.
3080|zugehörig|Er fühlte sich der Gruppe zugehörig.|belonging, corresponding|He felt like he belonged to the group.
3081|analytisch|Er hat eine analytische Denkweise.|analytic|He has an analytic mindset.
3083|locker|Der lockere Umgang gefiel den Gästen.|loose, relaxed|The relaxed atmosphere pleased the guests.
3084|sonstig|Er erledigte sonstige Aufgaben.|other|He handled other tasks.
3086|bitter|Die bittere Wahrheit kam ans Licht.|bitter|The bitter truth came to light.
3087|permanent|Er lebt in permanentem Stress.|permanent|He lives under permanent stress.
3091|nachfolgend|Die nachfolgende Erklärung ist wichtig.|following, subsequently|The following explanation is important.
3102|professionell|Professionelle Berater bieten Lösungen.|professional|Professional consultants offer solutions.
3106|kinetisch|Die kinetische Energie ist groß.|kinetic|The kinetic energy is large.
3109|zugänglich|Das Archiv ist jetzt zugänglich.|accessible|The archive is now accessible.
3115|langweilig|Der langweilige Film dauerte ewig.|boring|The boring movie lasted forever.
3117|schief|Das schiefe Regal drohte umzufallen.|crooked, not straight|The crooked shelf was about to fall over.
3127|einig|Sie waren sich in diesem Punkt einig.|agreed|They agreed on this point.
3133|stellvertretend|Sie war stellvertretend für den Chef da.|on behalf|She was there on behalf of the boss.
3135|mündlich|Er bestand die mündliche Prüfung.|oral|He passed the oral exam.
3136|neugierig|Er ist neugierig auf das neue Buch.|curious|He is curious about the new book.
