Der Hund ist groß.|The dog is big.
Der Mann ist glücklich.|That man is happy.
Der Lehrer, der spricht.|The teacher who speaks.
Er und ich sind Freunde.|He and I are friends.
Er ist in der Schule.|He is in the school.
Sie war in Berlin.|She was in Berlin.
Er ist mein Bruder.|He is my brother.
Ein Apfel ist rot.|An apple is red.
Ein Hund, ein Freund.|One dog, one friend.
Sie hatte ein Buch.|She had a book.
Ich habe einen Hund.|I have a dog.
Sie liebt ihre Katze.|She loves her cat.
Sie sind meine Freunde.|They are my friends.
Warten Sie hier.|You wait here.
Es wird regnen.|It will rain.
Ein Haus wird gebaut.|A house is being built.
Er wird müde.|He becomes tired.
Ein Brief von dir.|A letter from you.
Ich bin glücklich.|I am happy.
Das ist nicht gut.|That is not good.
Es ist ein Buch.|It is a book.
Ich gehe mit dir.|I go with you.
Er schaut sich um.|He looks around.
Er ist mein Freund.|He is my friend.
Sie sitzt auf dem Stuhl.|She sits on the chair.
Das ist für dich.|This is for you.
Ich mag es auch.|I like it too.
Sie ist an der Tür.|She is at the door.
Ich hoffe, dass es gut geht.|I hope that it goes well.
Er kam zu spät.|He came too late.
Zu viel Zucker.|Too much sugar.
Er ging zu ihr.|He went to her.
Als er kam, ging sie.|As he came, she left.
Größer als er.|Taller than him.
Er kann schwimmen.|He can swim.
Dies ist mein Haus.|This is my house.
Er arbeitet wie ein Pferd.|He works like a horse.
Wie heißt du?|What is your name?
Wir gehen ins Kino.|We go to the cinema.
Ihre Katze ist süß.|Her cat is cute.
Das ist ihr Buch.|That is her book.
Ist das Ihr Auto?|Is that your car?
Es ist so kalt.|It is so cold.
Es war nicht so.|It wasn't so.
Er wohnt bei mir.|He lives with me.
Sein Haus ist groß.|His house is big.
Es ist teuer, aber schön.|It is expensive but beautiful.
Das ist aber komisch.|But that is strange.
Man sagt, es ist gut.|They say it is good.
Es ist noch früh.|It is still early.
Nach der Schule.|After the school.
Willst du Tee oder Kaffee?|Do you want tea or coffee?
Alle kommen hierher.|All come here.
Er kommt aus Spanien.|He comes from Spain.
Was machst du?|What are you doing?
Ich habe nur ein Buch.|I have only one book.
Sie sagt die Wahrheit.|She tells the truth.
Dann gehe ich nach Hause.|Then I go home.
Wenn er kommt, gehe ich.|If he comes, I go.
Du musst lernen.|You must learn.
Um zu verstehen, lerne.|Learn in order to understand.
Er ging um die Ecke.|He went around the corner.
Ja, ich komme.|Yes, I am coming.
Ich habe kein Geld.|I have no money.
Das Buch ist über Hunde.|The book is about dogs.
Er ist da drüben.|He is over there.
Er kam da er müde war.|He came because he was tired.
Sie gibt ihm ein Buch.|She gives him a book.
Vor dem Haus steht ein Baum.|There is a tree in front of the house.
Mein Hund ist krank.|My dog is sick.
Ich brauche mehr Zeit.|I need more time.
Das Jahr ist vorbei.|The year is over.
Du bist nett.|You are nice.
Er ging durch den Park.|He went through the park.
Viel Lärm um nichts.|Much ado about nothing.
Ich will ein Eis.|I want an ice cream.
Er macht seine Hausaufgaben.|He does his homework.
Die andere Tür.|The other door.
Du sollst das tun.|You should do that.
Er ist schon da.|He is already there.
Schon wieder.|Again already.
Sie kommt morgen.|She comes tomorrow.
Gib mir das Buch.|Give me the book.
Ich gehe immer zu Fuß.|I always walk.
Er schaut mich an.|He looks at me.
Ich sehe mich im Spiegel.|I see myself in the mirror.
Ich gehe nach Hause.|I go home.
Das ist ein großes Haus.|That is a big house.
Ich bin hier.|I am here.
Das ganze Buch.|The whole book.
Es ist ganz schön hier.|It is quite nice here.
Zwei Katzen spielen.|Two cats play.
Also, was nun?|So, what now?
Ich gehe jetzt.|I go now.
Es ist teuer, doch schön.|It is expensive, but beautiful.
Ich habe es doch gesagt.|I told you so.
Er kommt wieder.|He comes again.
Wir sind Freunde.|We are friends.
Das ist gut.|That is good.
Warte bis morgen.|Wait until tomorrow.
Ich bleibe bis acht Uhr.|I stay until eight o'clock.
Ich weiß die Antwort.|I know the answer.
Ich sehe den Hund.|I see the dog.
Einer kam zu spät.|Someone came late.
Es ist sehr schön.|It is very beautiful.
