|part_of_speech|word_de|word_forms_de|sentence_de|word_meanings_en|word_en|sentence_en
0|art|die|der, die, das|Das ist die einzige Lösung für uns.|the|the|This is the only solution for us.
1|pron|der|der, die, das|Das ist der, der es getan hat.|that, those|that|That is the one who did it.
2|pron|der|der, die, das|Das ist der Mann, den ich meinte.|who, that|who|That is the man who I meant.
3|conj|und||Kaffee und Kuchen passen zusammen.|and|and|Coffee and cake go well together.
4|prep|in||In dem Haus wohnen viele Familien.|in|in|Many families live in the house.
5|aux|sein (Vergangenheitsform)|sein, ist, war, ist gewesen|Er war der Beste auf seinem Gebiet.|(past tense)|(past tense)|He was the best in his field.
6|verb|sein|sein, ist, war, ist gewesen|Er ist heute sehr beschäftigt.|to be|to be|He is very busy today.
7|art|ein|eine, einer, eines|Er hat ein Buch in der Tasche gefunden.|a, an|a|He found a book in the bag.
8|pron|einer|eine, einer, eines|Einer muss jetzt den ersten Schritt tun.|one (of)|one (of)|One of us must take the first step now.
9|aux|haben (Vergangenheitsform)|haben, hat, hatte, hat gehabt|Wir haben eine gute Zeit gehabt.|(past tense)|(past tense)|We had a good time.
10|verb|haben|haben, hat, hatte, hat gehabt|Er hat keine Wahl mehr gehabt.|to have|to have|He had no choice left.
11|pron|sie||Sie hat das Buch gestern fertig gelesen.|she, her|she|She finished reading the book yesterday.
12|pron|sie||Sie haben die Aufgabe zusammen gemacht.|they, them|they|They did the task together.
13|pron|Sie||Sie haben das richtig erkannt.|you|you|You recognized that correctly.
14|aux|werden (Futur)|werden, wird, wurde, ist geworden|Sie werden das Projekt bald beginnen.|(future tense)|(future tense)|They will start the project soon.
15|aux|werden (Passivform)|werden, wird, wurde, ist geworden|Das Buch wurde veröffentlicht.|(passive voice)|(passive voice)|The book was published.
16|verb|werden|werden, wird, wurde, ist geworden|Er wird bald der Direktor des Instituts.|to become, get|to become|He will soon be the director of the institute.
17|prep|von||Ich habe einen Brief von dir erhalten.|from, of|from|I received a letter from you.
18|pron|ich||Ich komme heute später nach Hause.|I|I|I will come home later today.
19|part|nicht||Nicht jetzt, vielleicht später.|not|not|Not now, maybe later.
20|pron|es||Es regnet schon den ganzen Tag.|it|it|It has been raining all day.
21|prep|mit||Er kam mit seinem Hund ins Haus.|with|with|He came into the house with his dog.
22|pron|sich||Sie hat sich im Spiegel angesehen.|-self|-self|She looked at herself in the mirror.
23|pron|er||Er kommt gleich zurück, sagte sie.|he|he|He will be right back, she said.
24|prep|auf||Er stellte das Glas auf den Tisch.|on, at, to|on|He placed the glass on the table.
25|prep|für||Ich habe ein Geschenk für dich.|for|for|I have a gift for you.
26|adv|auch||Er ist auch am Wochenende beschäftigt.|also, too|also|He is also busy on the weekend.
27|prep|an||Er klopfte an die Tür und wartete.|at, on|on|He knocked on the door and waited.
28|conj|dass||Ich hoffe, dass er bald kommt.|that|that|I hope that he comes soon.
29|part|zu||Ich habe keine Zeit, zu kommen.|to|to|I have no time to come.
30|part|zu||Es gibt zu viel Zucker im Kaffee.|too|too|There is too much sugar in the coffee.
31|prep|zu||Sie fährt jeden Tag zu ihrer Arbeit.|to|to|She drives to her job every day.
32|conj|als||Als er kam, begann es zu regnen.|as, when|when|When he came, it started to rain.
33|part|als||Er ist viel schneller als sein Bruder.|than|than|He is much faster than his brother.
34|verb|können|können, kann, konnte, hat können|Er kann nicht kommen, weil er krank ist.|to be able to, can|can|He cannot come because he is sick.
35|pron|dies||Dies ist mein letztes Angebot.|this, that|this|This is my final offer.
36|part|wie||Er arbeitet genauso hart wie sie.|as|as|He works as hard as she does.
37|pron|wie||Wie hast du das Problem gelöst?|how|how|How did you solve the problem?
38|pron|wir||Wir schaffen das gemeinsam, oder?|we|we|We can do this together, right?
39|pron|ihr||Ihr Hund bellt jeden Morgen im Garten.|her, their, hers, theirs|her|Her dog barks every morning in the garden.
40|pron|ihr||Habt ihr schon das neue Buch gelesen?|you, her|you|Have you already read the new book?
41|pron|Ihr||Ist das wirklich Ihr letzter Entschluss?|your|your|Is that really your final decision?
