|part_of_speech|word_de|sentence_de|word_en
6|verb|sein, ist, war, ist gewesen|Er ist mein Bruder.|to be
17|prep|von|Ich habe einen Brief von dir erhalten.|from, of
30|part|zu|Es gibt zu viel Zucker im Kaffee.|too
33|part|als|Er ist größer als ich.|than
36|part|wie|Er arbeitet wie ein Pferd.|as
41|pron|Ihr|Ist das Ihr Auto?|your
50|prep|nach|Nach der Schule gehe ich nach Hause.|after, toward
63|pron|kein|Ich habe kein Geld.|no
84|pron (relexive, in accusative case)|mich|Ich freue mich sehr auf das Wochenende.|me
105|conj|mal|Ein mal eins ist eins.|times
106|das|das Mal|Das erste Mal ist immer besonders.|time, mark
107|part|mal|Wir waren mal in Paris.|once
128|part|selbst, selber|Selbst ich kann das.|even
131|pron|wenig|Es gibt wenig Hoffnung.|little, few
212|adv|möglich|Wir machen es so schnell wie möglich.|as . . . as possible, if possible
224|part|etwa|Es ist etwa zu spät.|after all
243|der, das|das Teil|Jedes Teil hat seine Funktion.|part
269|die (pl)||Viele Leute sind hier.|people
274|verb|setzen, setzt, setzte, hat gesetzt|Er setzt sich auf den Stuhl.|to sit down
288|pron|ein paar|Ich habe ein paar Fragen.|a few
291|part|recht|Es ist recht schwierig.|rather, quite
311|part|wohl|Wohl wird es regnen.|probably
312|die|die Geschichte|Die Geschichte über den Krieg ist spannend.|history, story
331|conj|sowie|Er bringt Obst sowie Gemüse mit.|as well as, as soon as, plus
341|der|der Wert|Der Wert dieser Münze ist hoch.|value
353|pron|bisschen, bissel|Ich brauche ein bisschen Hilfe.|a little
426|part|na|Na, wie geht’s?|well
467|das|das Pro|Das Pro der Stadt ist die gute Infrastruktur.|pro
481|part|nämlich|Es ist nämlich so.|you see, namely
509|die|die Milliarde, Mrd.|Eine Milliarde Menschen leben auf der Erde.|billion
534|part|halt|Das ist halt so.|just, simply
537|prep|nahe, nah|Der Parkplatz ist nah bei der Schule.|near, close to
557|der, die|das Deutsche|Das Deutsche ist schwer.|German
576|pron|darum|Er geht darum nicht hin.|around it, therefore
607|adj|sogenannt|Der sogenannte Experte liegt falsch.|so-called
611|prep|innerhalb|Innerhalb einer Woche werde ich fertig sein.|within
615|adj|gesamt|Das gesamte Team arbeitet hart.|whole, entire
622|die (pl)||Die Kosten sind hoch.|costs, expenses
627|der|der Begriff|Ein neuer Begriff wurde eingeführt.|concept, idea, term
630|prep|laut|Laut dem Bericht sind die Zahlen gestiegen.|according to
632|die (pl)||Die Daten sind wichtig.|data
635|die|die Aussage|Eine klare Aussage wurde gemacht.|statement
643|der|der Gedanke|Ein interessanter Gedanke kam mir.|thought
655|der|der Dank|Mein Dank geht an dich.|gratefulness
656|prep|trotz|Trotz des Regens gingen wir spazieren.|in spite of
662|verb|verhalten, verhält, verhielt, hat verhalten|Er verhält sich gut.|to behave, act
663|adv|mindestens|Das dauert mindestens eine Stunde.|at least
668|adv|jeweils|Jeweils am Morgen lese ich die Nachrichten.|each, each time
673|das|das Tier|Das Tier ist süß.|animal
675|part|am|Am besten ist es jetzt.|the (+superlative)
676|verb|erhöhen, erhöht, erhöhte, hat erhöht|Er erhöht den Preis um 10 Prozent.|to raise, increase
695|verb|trinken, trinkt, trank, hat getrunken|Ich trinke jeden Morgen Wasser.|to drink
774|die|die Mitte|Die Mitte des Raumes ist frei.|middle
776|prep|aufgrund|Aufgrund des Wetters wurde das Spiel abgesagt.|on the basis of, because of
809|adj|wirtschaftlich|Die wirtschaftliche Lage ist angespannt.|economic, financial
825|adj|chemisch|Die chemische Reaktion verläuft schnell.|chemical
840|das|der Alter|Das Alter ist nur eine Zahl.|age
896|adv|rechts|Das Auto steht rechts auf der Straße.|on/to the right
899|das|das Russisch|Ich spreche fließend Russisch.|Russian
902|das|das Feld|Das Feld ist groß und weit.|field
939|adj|linke (r, s)|Die linke Hand hebt sich.|left
945|adv|danke|Danke für alles.|thanks
951|adj|ehemalig|Mein ehemaliger Lehrer war sehr nett.|former
958|adj|künftig|Die künftige Entwicklung wird spannend.|future
978|pron|wieso|Wieso fragst du?|why
986|die|die Nähe|Die Nähe zum Park ist ein großer Vorteil.|vicinity, proximity
1019|die (pl)||Die Medien berichten.|media
1024|das|das Tor|Das Tor ist offen, aber niemand geht durch.|gate, goal
1028|verb|eignen (sich), eignet, eignete, hat geeignet|Das Buch eignet sich für Anfänger.|to be suitable
1053|das|das Protein|Protein ist wichtig für den Körper.|protein
1054|der|der Gewinn|Der Gewinn des Unternehmens ist hoch.|profit
1061|part|ruhig|Du kannst ruhig fragen, wenn du etwas nicht verstehst.|freely
1080|der|der Westen, West-|Der Westen Deutschlands ist grün.|west
1090|die|das Grüne|Das Grüne ist beruhigend.|the Greens
1124|der|der Januar|Der Januar ist kalt.|January
1127|adj|jeweilig|Die jeweilige Situation erfordert Geduld.|particular, respective
1130|adj|vollständig|Das Buch ist vollständig und umfasst alle Kapitel.|complete
1148|adj|heutig|Das heutige Wetter ist angenehm.|present-day, today’s
