|word_de|sentence_de|word_en
98|gut|Das Wetter ist heute wirklich gut.|good
141|deutsch|Er liest gerne deutsche Literatur.|German
163|einfach|Das einfache Konzept machte alles klar.|simple, easy
171|natürlich|Der Fluss folgt seinem natürlichen Lauf.|natural
206|genau|Er erklärt den genauen Ablauf des Plans.|exact
209|spät|Die späte Ankunft sorgte für Unruhe.|later
232|wirklich|Die wirkliche Lösung überrascht alle.|real, actual
276|weit|Der Weg zur Schule ist sehr weit.|widely, far
285|klar|Die klare Antwort erleichtert vieles.|clear
289|recht|Die rechte Wahl brachte neue Chancen.|all right
315|sicher|Die sichere Wahl schützt vor Fehlern.|safe, secure, certain
330|bestimmt|Der bestimmte Plan führte zum Ziel.|special, certain
339|frei|In diesem Land sind die Bürger frei.|free
340|wert|Das Auto ist nicht mehr viel wert.|worth
356|politisch|Die politische Lage spitzt sich zu.|political
360|einzeln|Jedes einzelne Problem fordert Zeit.|individual, single, separately
389|europäisch|Der europäische Markt ist stabil.|European
394|tatsächlich|Die tatsächliche Ursache erklärt alles.|real, actual
400|unterschiedlich|Die Meinungen dazu sind unterschiedlich.|different
410|offen|Die offene Tür lädt zum Hereinkommen.|open
421|früh|Der frühe Vogel fand den Wurm.|early
448|allgemein|Die allgemeine Meinung wurde akzeptiert.|general
462|häufig|Die häufige Frage nervte die Teilnehmer.|frequent
482|international|Das internationale Treffen beginnt bald.|international
493|ähnlich|Die ähnliche Idee wurde schon genutzt.|similar
498|tief|Der Brunnen im Dorf ist sehr tief.|deep
499|halb|Der halbe Weg war schon gegangen.|half
533|rot|Die Blumen im Garten sind leuchtend rot.|red
550|wahrscheinlich|Es ist wahrscheinlich, dass es regnet.|likely, probable
562|gering|Der Einfluss auf das Projekt war gering.|low, small
573|völlig|Der völlige Plan war endlich fertig.|completely, absolutely
584|langsam|Der Verkehr in der Stadt ist langsam.|slow
603|persönlich|Die persönliche Geschichte rührte uns.|personal
607|sogenannt|Er ist der sogenannte Experte im Team.|so-called
610|gewiss|Ich bin mir dessen ganz gewiss.|certain
625|fest|Der feste Plan bringt Sicherheit mit.|firm, solid
626|aktuell|Die aktuelle Situation erfordert Geduld.|current
699|knapp|Der Vorrat an Lebensmitteln ist knapp.|scarce, slim
732|selten|Die seltene Gelegenheit wurde ergriffen.|rare
792|offenbar|Das Geheimnis war offenbar bekannt.|apparent
804|bloß|Das bloße Versprechen reichte nicht aus.|bare, mere
809|wirtschaftlich|Die wirtschaftliche Lage ist angespannt.|economic, financial
827|schlimm|Der schlimme Fehler wurde korrigiert.|worse
838|laut|Das Geräusch in der Stadt war laut.|loud
844|ständig|Die ständige Ablenkung stört die Arbeit.|constant
881|speziell|Die spezielle Regel erleichtert vieles.|special, specific
890|absolut|Der absolute Sieger strahlte vor Freude.|absolute, complete
908|praktisch|Der praktische Koffer ist beliebt.|practical
911|weltweit|Die weltweite Nachfrage wächst schnell.|worldwide
965|lieb|Das kleine Kätzchen ist wirklich lieb.|dear, kind
969|historisch|Die Stadt hat historische Gebäude.|historical
973|entscheidend|Das Tor war entscheidend für den Sieg.|decisive
977|wissenschaftlich|Der wissenschaftliche Ansatz half uns.|scientific, scholarly
988|medizinisch|Die medizinische Hilfe rettete Leben.|medical
1026|komplex|Das komplexe Thema wurde besprochen.|complex
1040|toll|Der Ausflug zum See war wirklich toll.|great, terrific
1055|grundsätzlich|Ein grundsätzlicher Fehler war sichtbar.|fundamental
1072|erneut|Die erneute Prüfung lief fehlerfrei.|again, renewed
1105|kulturell|Die Stadt hat kulturelle Vielfalt.|cultural
1110|nötig|Für den Job ist ein Abschluss nötig.|necessary
